شماره,دسته,تغییر,توضیحات
1,سیستم ایمیل,راه‌اندازی Resend,جایگزینی MailHog با سرویس ایمیل Resend برای پروداکشن
2,سیستم ایمیل,قالب‌های ایمیل چندزبانه,ساخت قالب ایمیل برای انگلیسی و فارسی و عربی
3,سیستم ایمیل,اعلان درخواست عضویت,ارسال ایمیل به مالک و مدیران کامیونیتی هنگام درخواست جدید
4,سیستم ایمیل,اعلان تغییر نقش,ارسال ایمیل به کاربر هنگام تایید یا رد درخواست یا تغییر نقش
5,سیستم ایمیل,زبان پیش‌فرض انگلیسی,تغییر زبان پیش‌فرض ایمیل‌ها به انگلیسی
6,قیمت‌گذاری پویا,الگوریتم قیمت‌گذاری,پیاده‌سازی الگوریتم قیمت‌گذاری پویا مشابه اسنپ با ۷ فاکتور
7,قیمت‌گذاری پویا,جدول قیمت مسیرها,ایجاد مدل RoutePrice برای ذخیره قیمت پایه مسیرها
8,قیمت‌گذاری پویا,API پیشنهاد قیمت,اضافه کردن endpoint برای دریافت قیمت پیشنهادی
9,قیمت‌گذاری پویا,ویجت پیشنهاد قیمت,ساخت کامپوننت نمایش پیشنهاد قیمت در فرم ایجاد کارت
10,قیمت‌گذاری پویا,ضریب ۲.۵ برابری,افزایش قیمت پیشنهادی به ۲.۵ برابر
11,قیمت‌گذاری پویا,دکمه پیشنهاد مجدد,اضافه کردن دکمه دریافت پیشنهاد جدید
12,آمار کارت,ثبت بازدید,ثبت تعداد نمایش کارت در لیست
13,آمار کارت,ثبت کلیک,ثبت تعداد کلیک روی کارت
14,آمار کارت,نمایش فقط در کارت‌های من,آمار بازدید و کلیک فقط برای صاحب کارت نمایش داده می‌شود
15,لوکیشن,seed کشورها و شهرها,اضافه کردن تمام کشورها و شهرهای مهم جهان به دیتابیس
16,لندینگ,طراحی مجدد Hero,طراحی Hero با دو کارت مسافر و فرستنده
17,لندینگ,بخش مفاهیم,اضافه کردن توضیح کامیونیتی و کارت و قانون پیام‌رسانی
18,لندینگ,ادغام بخش‌ها,ادغام بخش مفاهیم با نحوه کار برای حذف تکرار
19,لندینگ,زیرعنوان سئو,اضافه کردن زیرعنوان سئو به Hero
20,لندینگ,بهبود CTA,تغییر متن دکمه اقدام به جذاب‌تر
21,لندینگ,حذف شبکه اجتماعی,حذف لینک‌های placeholder شبکه اجتماعی از فوتر
22,لندینگ,حذف بخش آمار,حذف StatsSection از صفحه اصلی
23,لندینگ,تغییر شعار,تغییر affordable به free در شعار
24,لندینگ,حذف صفر ابتدایی,حذف صفر از شماره مراحل در HowItWorks
25,UI/UX,حذف پرچم از زبان,حذف آیکون پرچم از منوی انتخاب زبان
26,UI/UX,وضعیت بسته‌بندی,تغییر Doesn't matter به No packaging info
27,UI/UX,اصلاح واژگان,استفاده از Traveler و Sender به جای cargo
28,UI/UX,رفع overlap فیلتر,رفع مشکل overlap دکمه‌های فیلتر با navbar
29,UI/UX,رفع overlap آیکون‌ها,جابجایی دکمه‌های ویرایش و حذف در کارت‌های من
30,UI/UX,بهبود DateTimePicker,کوچک کردن دکمه‌ها و بهبود نمایش در دسکتاپ
31,UI/UX,آیکون مثبت و منفی,تغییر فلش به آیکون مثبت و منفی در DateTimePicker
32,UI/UX,اعتبارسنجی رمز,اضافه کردن پیام خطا برای عدم وجود عدد در رمز
33,UI/UX,راهنمای پیام‌ها,اضافه کردن راهنما به بخش پیام‌های خالی
34,UI/UX,فرم نوع کارت,تغییر dropdown به کارت‌های انتخابی برای نوع کارت
35,UI/UX,باکس آموزش داشبورد,اضافه کردن دکمه متوجه شدم و نمایش مجدد راهنما
36,UI/UX,پیشنهاد PWA,نمایش پیشنهاد افزودن به صفحه اصلی برای موبایل
37,UI/UX,بدون کامیونیتی,جلوگیری از ایجاد کارت بدون عضویت در کامیونیتی
38,UI/UX,پیام خطای رمز,انگلیسی کردن پیام خطای رمز فعلی اشتباه
39,UI/UX,ویرایش نام,رفع باگ ویرایش نام و نام خانوادگی
40,UI/UX,نمایش سال,بهبود نمایش فیلد سال در موبایل
41,فیلتر,رفع فیلتر ارز,رفع مشکل کار نکردن فیلتر ارز
42,فیلتر,رفع فیلتر تاریخ,رفع مشکل فیلتر بازه زمانی
43,مدیریت کامیونیتی,ویرایش تنظیمات,اضافه کردن فرم ویرایش نام و توضیحات کامیونیتی
44,ترجمه,نقش‌های کامیونیتی,چندزبانه کردن badge نقش‌ها
45,ترجمه,پیام‌های validation,انگلیسی کردن پیام‌های اعتبارسنجی فرم کارت
46,ترجمه,تاریخ فرم کارت,انگلیسی کردن ماه و روز و سال در فرم
47,ترجمه,پیام نتیجه خالی,انگلیسی کردن پیام نتیجه‌ای یافت نشد
48,API,trailing slash,اضافه کردن اسلش به endpoint های آمار کارت
49,مستندات,CHANGELOG,به‌روزرسانی فایل تغییرات
50,مستندات,README,به‌روزرسانی راهنمای backend
51,مستندات,ARCHITECTURE,به‌روزرسانی معماری
52,لندینگ,حذف لوگو,حذف لوگوی بزرگ از وسط Hero
53,لندینگ,تغییر سوال اصلی,حذف So از ابتدای سوال
54,لندینگ,شعار Safe Simple Free,نمایش در یک خط با رنگ‌های مجزا
55,لندینگ,حذف subtitle و pain,حذف زیرعنوان و مشکلات از کارت‌های پرسونا
56,لندینگ,پیام مثبت Connect,تغییر پیام Connect از منفی به مثبت
57,لندینگ,خلاصه subtitle کارت‌ها,حذف travel and cargo از زیرعنوان
58,لندینگ,حذف cargo از فوتر,حذف کلمه cargo از توضیحات فوتر
59,موبایل,فاصله safe area,اضافه کردن فاصله برای iPhone در navbar پایین
60,سئو,عنوان تب مرورگر,تغییر عنوان و حذف cargo
61,ترجمه عربی,بخش joinCommunity,اضافه کردن ترجمه عربی برای پیام عدم کامیونیتی مشترک
62,اعتبارسنجی,اعداد فارسی,اضافه کردن پیام استفاده از اعداد انگلیسی
